Encore Halloween Harvest 2024 Items,,,,,All ," 635,222 "," 868,061 "," 498,786 "," 260,202 ", -   ," 2,262,271 ",,," $2,231,408 "," $3,155,884 "," $1,758,065 "," $1,009,134 ", $-   ," $8,154,490 "," $1,059,357 "," $1,501,090 "," $834,456 "," $491,695 ", $-   ," $3,886,599 ",,,
00004152020522, SL Hal D of the dead Ct , Plush , Halloween ,Halloween Harvest 2024,Tom's Toy, -   ," 1,800 ", -   , -   , -   ," 1,800 ", $3.95 , $7.99 , $-   ," $14,382 ", $-   , $-   , $-   ," $14,382 ", $-   ," $7,110 ", $-   , $-   , $-   ," $7,110 ", Medium Plush , Import ,
00004152020523, SL Hal D of the dead Br , Plush , Halloween ,Halloween Harvest 2024,Tom's Toy, -   ," 1,800 ", -   , -   , -   ," 1,800 ", $3.95 , $7.99 , $-   ," $14,382 ", $-   , $-   , $-   ," $14,382 ", $-   ," $7,110 ", $-   , $-   , $-   ," $7,110 ", Medium Plush , Import ,
00004152020524, SL Hal Felt Chr Basket , Novelty , Halloween ,Halloween Harvest 2024,Gibo, -   ," 3,492 "," 2,664 ", -   , -   ," 6,156 ", $2.40 , $4.99 , $-   ," $17,425 "," $13,293 ", $-   , $-   ," $30,718 ", $-   ," $8,381 "," $6,394 ", $-   , $-   ," $14,774 ", Treat Bags and Basket , Import ,
00004152020525, SL Hal Canvas Basket , Novelty , Halloween ,Halloween Harvest 2024,Gibo, -   ," 1,812 "," 1,404 "," 1,224 ", -   ," 4,440 ", $3.53 , $7.49 , $-   ," $13,572 "," $10,516 "," $9,168 ", $-   ," $33,256 ", $-   ," $6,396 "," $4,956 "," $4,321 ", $-   ," $15,673 ", Treat Bags and Basket , Import ,
00004152020526, SL Hal RF trk or trt Bg , Novelty , Halloween ,Halloween Harvest 2024,Occasions," 7,680 "," 8,400 "," 6,984 "," 4,680 ", -   ," 27,744 ", $1.17 , $2.49 ," $19,123 "," $20,916 "," $17,390 "," $11,653 ", $-   ," $69,083 "," $8,986 "," $9,828 "," $8,171 "," $5,476 ", $-   ," $32,460 ", Treat Bags and Basket , Import ,
00004152020527, SL Hal Cndy Cn Plsh Pls , Plush , Halloween ,Halloween Harvest 2024,Tom's Toy," 2,400 "," 3,984 "," 1,464 ", -   , -   ," 7,848 ", $2.01 , $3.99 ," $9,576 "," $15,896 "," $5,841 ", $-   , $-   ," $31,314 "," $4,824 "," $8,008 "," $2,943 ", $-   , $-   ," $15,774 ", Small Plush , Import ,
00004152020528, SL Hal Roly Plush , Plush , Halloween ,Halloween Harvest 2024,Tom's Toy," 2,256 "," 1,776 "," 1,248 ", -   , -   ," 5,280 ", $2.22 , $4.49 ," $10,129 "," $7,974 "," $5,604 ", $-   , $-   ," $23,707 "," $5,008 "," $3,943 "," $2,771 ", $-   , $-   ," $11,722 ", Small Plush , Import ,
00004152020529, SL Hal GOOD TIME GANG , Plush , Halloween ,Halloween Harvest 2024,Dan Dee," 2,640 ", 384 ," 1,320 ", -   , -   ," 4,344 ", $2.85 , $5.99 ," $15,814 "," $2,300 "," $7,907 ", $-   , $-   ," $26,021 "," $7,524 "," $1,094 "," $3,762 ", $-   , $-   ," $12,380 ", Small Plush , Import ,
00004152020530, SL Hal Reversible Plush , Plush , Halloween ,Halloween Harvest 2024,Dan Dee, -   ," 1,800 ", 672 , -   , -   ," 2,472 ", $3.95 , $7.99 , $-   ," $14,382 "," $5,369 ", $-   , $-   ," $19,751 ", $-   ," $7,110 "," $2,654 ", $-   , $-   ," $9,764 ", Medium Plush , Import ,
00004152020531, SL Hal Spooky Toy , Plush , Halloween ,Halloween Harvest 2024,Global New Ventures Group, -   ," 1,800 ", -   , -   , -   ," 1,800 ", $3.59 , $6.99 , $-   ," $12,582 ", $-   , $-   , $-   ," $12,582 ", $-   ," $6,462 ", $-   , $-   , $-   ," $6,462 ", Small Plush , Import ,
00004152020532, SL Hal Sqishy Plsh Pals , Plush , Halloween ,Halloween Harvest 2024,Occasions, -   ," 1,800 ", 864 , -   , -   ," 2,664 ", $4.03 , $7.99 , $-   ," $14,382 "," $6,903 ", $-   , $-   ," $21,285 ", $-   ," $7,254 "," $3,482 ", $-   , $-   ," $10,736 ", Medium Plush , Import ,
00004152020533, SL Hal Hvnly Rly Ply Pl , Plush , Halloween ,Halloween Harvest 2024,Dan Dee, -   , 900 , -   , -   , -   , 900 , $6.81 , $12.99 , $-   ," $11,691 ", $-   , $-   , $-   ," $11,691 ", $-   ," $6,129 ", $-   , $-   , $-   ," $6,129 ", Medium Plush , Import ,
